City,Average Rent,Happy Cow Hits,Public Transit,Walking Dist Hike,Friends,Misc Notes,Autocracy,Mum_Indpt,Foreign Marker,No Move Required,East Coast Modifier,Connor,Need Car,Tech Salary Diff,State Tax / Month
New York (Mum),0,161,10,0,1,,0,1,0,0,1,1,0,,0
New York,2580,161,10,0,1,,0,0,0,0,1,1,0,,0
Los Angeles,2432,112,6,7,0,,0,0,0,0,0,0,1,,0
"Montreal, QC","1,200",82,9,8,0.3,,0,0,1,0,1,0,0,,0
Berkeley,3075,54,7,5,0,,0,0,0,0,0,0,0,,0
Portland,1582,52,6,0,0,,0,0,0,0,0,0,1,,0.00001
Staying in SF,3075,50,10,0,0.8,,0,0,0,1,0,0,0,,0
San Francisco,3075,50,10,0,0.8,,0,0,0,0,0,0,0,,0
Hong Kong,3000,37,10,10,0.3,,1,0,1,0,0,0,0,,0
Chicago,1691,37,10,6,0,,0,0,0,0,0,0,0,,0
Philadelphia,1524,35,7,0,0,,0,0,0,0,0,0,1,,0
Seattle,1887,28,6,6,0,,0,0,0,0,0,0,0,,0
Cambridge,2537,25,10,0,0.6,,0,0,0,0,1,0,0,,0
Denver,1708,11,4,2,0,,0,0,0,0,0,0,1,,0
Salt Lake City,1325,11,4,7,0,,0,0,0,0,0,0,1,,0
Austin,1521,10,3,4,0,,0,0,0,0,0,0,1,,0
Providence,1532,6,2,4,0,,0,0,0,0,0.5,0,1,,0
New Haven,1363,4,0,0,0.2,,0,0,0,0,1,0,0.5,,0
"Stowe, VT",900,2,0,6,0,,0,0,0,0,0,0,2,,0
"Madison, WI",1273,2,3,0,0.15,,0,0,0,0,0,0,1,,0
